,ID,Gender,OnBoardPeakSeason,LeavePeakSeason,Turn,DormAreaCount,SalaryBonusMean,SalaryMean,LastMonthSalaryBonus,LastMonthSalary,LastMonthSalaryPct,LastMonthSalaryBonusPct,WorkOnRestDay,ShiftRatio,LiveDormRatio,WorkHourMean,AgeRange_<=20,AgeRange_21-30,AgeRange_31-40,AreaName_EastChina,AreaName_NorthChina,AreaName_NortheastChina,AreaName_NorthwestChina,AreaName_SouthCentralChina,AreaName_SouthwestChina,OnBoardMonth_01,OnBoardMonth_02,OnBoardMonth_03,OnBoardMonth_04,OnBoardMonth_05,OnBoardMonth_06,OnBoardMonth_07,OnBoardMonth_08,OnBoardMonth_09,OnBoardMonth_10,OnBoardMonth_11,OriRecruitCat_B,OriRecruitCat_C,OriContractCat_B,OriContractCat_C,DormAreaMost_A,DormAreaMost_B,DormAreaMost_C,DormAreaMost_D,DormAreaMost_E,DormAreaMost_F,DormAreaMost_G,DormAreaMost_H,DormAreaMost_I,DormAreaMost_J,DormAreaMost_K,DormAreaMost_L,DormAreaMost_M,DormAreaMost_N,DormAreaMost_O,ShiftCategoryMost_A,ShiftCategoryMost_B,ShiftCategoryMost_C,ShiftCategoryMost_D,ShiftCategoryMost_E,ShiftCategoryMost_F,ShiftCategoryMost_G,TotalDay,Quit
380,10380,1,0,1,1,2,0.166288234,0.878292004,0.207834326,0.826386048,0.969664507,1,0.313304721,0.407725322,0.991416309,10.65116279,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,231,1
381,10381,1,0,0,1,1,0.145515188,0.868392263,0.114355619,0.306211317,0.381079425,0.550224888,0.314102564,0.532051282,0.980769231,10.99145299,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,154,1
382,10382,1,0,0,1,1,0.13305136,0.949518694,0.114355619,0.245185301,0.238659525,0.709864603,0.3203125,0.40625,0.984375,11.15151515,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,127,1
383,10383,1,0,1,0,1,0.098775834,0.402888554,0.098775834,0.472703127,1.419213606,1,0.288888889,0.444444444,0.911111111,9.88,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,43,1
384,10384,1,0,0,1,1,0.145515188,0.987197987,0.114355619,0.396751677,0.359473194,0.550224888,0.311688312,0.318181818,0.987012987,10.90243902,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,154,1
385,10385,1,0,0,0,1,0.129935403,0.884536659,0.098775834,0.25815703,0.34355355,0.613152805,0.322580645,0.524193548,1,11.04166667,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,122,1
386,10386,1,0,1,0,1,0.109162357,0.778569612,0.098775834,0.636499634,0.506668486,0.760191847,0.333333333,0.873015873,0.968253968,11.08,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,61,1
387,10387,1,0,1,0,1,0.098775834,0.411982475,0.098775834,0.613329378,0.995040846,1,0.258064516,0.064516129,0.967741935,11.19230769,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,29,1
388,10388,1,0,0,1,1,0.129935403,0.891721432,0.098775834,0.374706282,0.363169085,0.613152805,0.308510638,0.436170213,0.946808511,11.69444444,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,125,1
389,10389,1,0,0,0,2,0.140321926,1.042483372,0.098775834,0.490875388,0.621995854,0.513776337,0.314102564,0.538461538,0.987179487,10.92063492,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,154,1
390,10390,1,0,1,1,1,0.122145511,1.034218037,0.098775834,0.447018294,0.277396214,0.613152805,0.326086957,0.619565217,0.989130435,11.48684211,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,90,1
391,10391,1,0,1,0,1,0.109162357,0.703252779,0.129935403,1.392867014,2.357329691,1.315457413,0.3,0.04,0.98,11.88095238,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,48,1
392,10392,1,0,0,0,1,0.098775834,0.345159221,0.098775834,0.601149103,0.860290116,0.848264518,0.272727273,0.090909091,0.954545455,11.35294118,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,20,1
393,10393,0,0,0,0,1,0.098775834,0.026685055,0.098775834,0.026685055,0.860290116,0.848264518,0.222222222,0.222222222,0.333333333,10,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1
394,10394,0,0,1,0,2,0.098775834,0.852097366,0.098775834,1.16553303,2.163756999,1,0.29787234,0.042553191,0.872340426,12.15625,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,45,1
395,10395,0,0,1,1,3,0.178232735,0.911203953,0.145515188,0.27522001,0.277422334,0.608865711,0.310714286,0.353571429,0.996428571,11.14778325,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,279,1
396,10396,1,0,1,1,1,0.117471575,0.887363455,0.098775834,0.883364436,0.598183276,0.613152805,0.327102804,0.672897196,1,11.4137931,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,105,1
